Activity Type,Date,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Best Lap Time,Number of Laps,Remaining_Days,Goal_Distance,Goal_Time,Fatigue
Running,8/13/19 21:05,Cherry Hill Running,3.0,261,0:23:18,136,151,170,178,7:46,6:36,107,112,1.22,00:00.9,4,165,42195,12632,75.04539880759904
Running,8/12/19 19:15,Pennsauken Running,6.52,594,0:48:42,147,162,170,178,7:28,6:34,115,116,1.26,03:55.3,7,358,42195,12632,84.71762517698784
Running,8/10/19 17:24,Cherry Hill Running,5.16,471,0:41:12,141,159,170,180,7:59,6:25,135,142,1.19,01:23.7,6,409,42195,12632,77.39728600845375
Running,8/9/19 19:31,Cherry Hill Running,6.26,573,0:46:15,150,175,170,182,7:24,6:04,306,315,1.27,01:52.3,7,623,42195,12632,9.423654962964944
Running,8/8/19 17:58,Cherry Hill Running,3.01,249,0:21:40,142,171,172,182,7:12,6:03,103,106,1.3,00:04.1,4,291,42195,12632,98.86350098210058
Running,8/6/19 18:19,Cherry Hill Running,5.0,452,0:37:56,146,178,172,180,7:35,6:18,130,134,1.24,00:02.1,6,192,42195,12632,97.11003972939136
Running,8/4/19 18:36,Cherry Hill Running,6.5,582,0:46:59,153,174,172,182,7:14,6:23,262,263,1.29,03:40.2,7,217,42195,12632,16.74348694096821
Running,8/3/19 16:36,Anne Arundel County Running,4.0,345,0:27:26,156,178,172,182,6:51,5:10,73,72,1.36,00:00.9,5,524,42195,12632,91.5543110938345
Running,8/2/19 17:09,Anne Arundel County Running,3.68,318,0:30:34,137,158,168,176,8:18,5:09,97,97,1.15,05:43.1,4,450,42195,12632,78.36715597794878
Running,7/31/19 18:55,Cherry Hill Running,7.15,687,0:52:14,163,170,170,188,7:18,4:31,238,244,1.29,00:50.4,8,172,42195,12632,85.21002498278925
Running,7/30/19 8:27,Cherry Hill Running,4.5,398,0:37:30,138,156,170,178,8:20,7:14,118,122,1.14,04:00.5,5,567,42195,12632,96.92024442613616
Running,7/29/19 18:46,Voorhees Running,6.0,562,0:45:24,155,181,170,180,7:34,6:07,195,205,1.25,00:01.6,7,308,42195,12632,81.37750543823495
Running,7/27/19 10:12,Cherry Hill Running,5.0,470,0:36:25,160,183,174,182,7:17,5:34,229,225,1.27,00:01.5,6,321,42195,12632,11.765156312124503
Running,7/26/19 18:42,Cherry Hill Running,4.0,364,0:30:11,152,168,172,184,7:32,5:44,154,159,1.23,00:02.0,5,428,42195,12632,65.17484350664091
Running,7/25/19 18:52,Cherry Hill Running,6.0,523,0:43:30,154,171,172,178,7:15,5:51,107,107,1.3,00:01.5,7,626,42195,12632,19.120376143686833
Running,7/23/19 9:45,Cherry Hill Running,5.0,549,0:36:02,177,188,172,182,7:12,5:08,121,127,1.3,00:01.1,6,93,42195,12632,40.05793273422144
Running,7/22/19 10:57,Cherry Hill Running,4.0,381,0:28:00,163,180,172,182,7:00,3:47,125,130,1.33,00:01.2,5,137,42195,12632,31.509207303739505
Running,7/21/19 9:08,Cherry Hill Running,4.02,465,0:28:32,176,187,174,184,7:06,6:04,105,115,1.3,00:08.4,5,187,42195,12632,6.301374039924701
Running,7/19/19 19:41,Cherry Hill Running,4.01,432,0:30:53,153,174,170,178,7:43,6:32,118,114,1.23,00:02.7,5,208,42195,12632,79.2509621081655
Running,7/18/19 18:19,Cherry Hill Running,4.01,381,0:32:58,146,166,168,174,8:14,6:40,171,171,1.16,00:02.4,5,555,42195,12632,14.63293902027738
Running,7/16/19 18:32,Cherry Hill Running,4.0,429,0:31:30,159,178,170,176,7:52,6:34,70,70,1.21,00:01.3,5,234,42195,12632,20.89763484193803
Running,5/5/19 14:33,Allentown Running,2.0,128,0:13:43,128,142,182,188,6:51,4:21,63,61,1.29,00:02.0,3,231,42195,12632,95.37889738090776
Running,5/5/19 9:57,Allentown Running,2.05,149,0:14:28,133,146,184,194,7:04,1:18,47,35,1.23,00:23.7,3,164,42195,12632,19.29401373184143
Running,5/4/19 11:15,Allentown Running,5.0,339,0:39:05,129,160,176,184,7:49,6:10,170,176,1.17,00:00.9,6,235,42195,12632,39.680781249343454
Running,5/3/19 19:15,Allentown Running,1.93,158,0:17:50,126,137,168,182,9:14,7:39,3,3,1.04,08:18.5,2,258,42195,12632,78.37161115716832
Running,5/3/19 17:37,Allentown Running,2.23,150,0:15:18,132,142,184,196,6:52,5:37,125,120,1.27,01:29.4,3,242,42195,12632,74.73315790168989
Running,5/2/19 16:55,Baltimore Running,7.01,483,0:49:59,137,155,178,214,7:08,4:02,363,360,1.27,00:03.2,8,606,42195,12632,15.622081146306478
Running,5/1/19 11:44,Baltimore Running,9.0,473,1:00:46,126,186,182,194,6:45,4:55,353,348,1.31,00:02.5,10,625,42195,12632,63.47054412701089
Running,4/30/19 17:55,Baltimore Running,4.04,328,0:27:59,146,162,180,192,6:56,6:05,182,142,1.29,00:15.8,5,147,42195,12632,26.06131540665556
Running,4/30/19 17:20,Baltimore Running,0.79,81,06:31.1,145,152,168,208,8:14,7:26,43,46,1.16,00:00.0,1,94,42195,12632,24.319319416251005
